'Year', 'Rating', 'Title', 'Artist'
'1942', '99', ' Johnny Doughboy Found a Rose in Ireland', 'Freddy Martin and His Orchestra'
'1942', '100', ' Tangerine', 'Vaughn Monroe'
'1943', '1', ' Paper Doll', 'Mills Brothers'
'1943', '2', ' Oh, What a Beautiful Mornin’', 'Bing Crosby'
'1943', '3', ' As Time Goes By', 'Rudy Vallee'
'1943', '4', ' Oklahoma!', 'Alfred Drake'
'1943', '5', ' I’ve Heard That Song Before', 'Harry James with Helen Forrest'
'1943', '6', ' Sentimental Lady', 'Duke Ellington'
'1943', '7', ' Don’t Get Around Much Anymore', 'The Ink Spots'
'1943', '8', ' That Old Black Magic', 'Glenn Miller'
'1943', '9', ' Stormy Weather', 'Lena Horne'
'1943', '10', ' Taking a Chance on Love', 'Benny Goodman'
'1943', '11', ' Sunday, Monday or Always', 'Bing Crosby'
'1943', '12', ' Comin In on a Wing and a Prayer', 'The Song Spinners'
'1943', '13', ' There Are Such Things', 'Tommy Dorsey'
'1943', '14', ' You’ll Never Know', 'Dick Haymes'
'1943', '15', ' Pistol Packin’ Mama', 'Al Dexter &amp; His Troops'
'1943', '16', ' I Had The Craziest Dream', 'Harry James'
'1943', '17', ' In the Blue of the Evening', 'Tommy Dorsey'
'1943', '18', ' Zing! Went the Strings of My Heart', 'Judy Garland'
'1943', '19', ' Boogie Woogie', 'Tommy Dorsey'
'1943', '20', ' You’d Be So Nice To Come Home to', 'Dinah Shore'
'1943', '21', ' Two O’Clock Jump', 'Harry James'
'1943', '22', ' Juke Box Saturday Night', 'Glenn Miller'
'1943', '23', ' When The Lights Go On Again (All Over The World)', 'Vaughn Monroe'
'1943', '24', ' People Will Say We’re in Love', 'Bing Crosby'
'1943', '25', ' Praise The Lord and Pass the Ammunition', 'Kay Kyser'
'1943', '26', ' You’ll Never Know', 'Frank Sinatra'
'1943', '27', ' Artistry In Rhythm', 'Stan Kenton'
'1943', '28', ' There’s A Star Spangled Banner Waving Somewhere', 'Jimmy Wakely'
'1943', '29', ' Don’t Cry, Baby', 'Erskine Hawkins'
'1943', '30', ' Perdido', 'Duke Ellington'
'1943', '31', ' People Will Say We’re in Love', 'Frank Sinatra'
'1943', '32', ' Don’t Get Around Much Anymore', 'Duke Ellington'
'1943', '33', ' Let’s Get Lost', 'Vaughn Monroe'
'1943', '34', ' Mister Five By Five', 'Harry James'
'1943', '35', ' Moonlight Becomes You', 'Bing Crosby'
'1943', '36', ' All for You', 'King Cole Trio'
'1943', '37', ' Why Don’t You Do Right', 'by Benny Goodman'
'1943', '38', ' I’m Old Fashioned', 'Fred Astaire'
'1943', '39', ' Brazil', 'Xavier Cugat'
'1943', '40', ' Shoo-Shoo Baby', 'Ella Mae Morse'
'1944', '1', ' Swinging On A Star', 'Bing Crosby'
'1944', '2', ' Trolley Song', 'Judy Garland'
'1944', '3', ' Besame Mucho', 'Jimmy Dorsey'
'1944', '4', ' You Always Hurt The One You Love', 'Mills Brothers'
'1944', '5', ' Mairzy Doates', 'Merry Macs'
'1944', '6', ' I’ll Be Seeing You', 'Bing Crosby'
'1944', '7', ' Twilight Time', 'Les Brown'
'1944', '8', ' It’s Love-Love-Love', 'Guy Lombardo'
'1944', '9', ' My Heart Tells Me', 'Glen Gray'
'1944', '10', ' I Love You', 'Bing Crosby'
'1944', '11', ' I’ll Walk Alone', 'Dinah Shore'
'1944', '12', ' I’m Making Believe', 'Ella Fitzgerald &amp; Ink Spots'
'1944', '13', ' Straighten Up And Fly Right', 'The King Cole Trio'
'1944', '14', ' Til Then', 'The Ames Brothers'
'1944', '15', ' I’ll Get By', 'Harry James'
'1944', '16', ' Long Ago', 'Dick Haymes and Helen Forrest'
'1944', '17', ' Amor', 'Andy Russell'
'1944', '18', ' GI Jive', 'Louis Jordan and his Tympany Five'
'1944', '19', ' Long Ago', 'Bing Crosby'
'1944', '20', ' Saturday Night Is the Loneliest Night of the Week', 'Frank Sinatra'
'1944', '21', ' Into Each Life Some Rain Must Fall', 'Ella Fitzgerald &amp; Ink Spots'
'1944', '22', ' I’m Lost', 'Benny Carter'
'1944', '23', ' Main Stem', 'Duke Ellington'
'1944', '24', ' Cow-Cow Boogie -(Cuma-Ti-Yi-Yi-Ay)', 'Ink Spots with Ella Fitzgerald'
'1944', '25', ' Amor', 'Bing Crosby'
'1944', '26', ' Long Ago', 'Jo Stafford'
'1944', '27', ' And Her Tears Flowed Like Wine', 'Stan Kenton'
'1944', '28', ' Cherry', 'Harry James'
'1944', '29', ' Shoo-Shoo Baby', 'Andrews Sisters'
'1944', '30', ' Hamp’s Boogie Woogie', 'Lionel Hampton'
'1944', '31', ' San Fernando Valley', 'Bing Crosby'
'1944', '32', ' Don’t Sweetheart Me', 'Lawrence Welk'
'1944', '33', ' A Hot Time In the Town of Berlin', 'Bing Crosby &amp; the Andrews Sisters'
'1944', '34', ' It Had To Be You', 'Dick Haymes and Helen Forrest'
'1944', '35', ' Time Waits For No One', 'Helen Forrest'
'1944', '36', ' Shoo-Shoo Baby', 'The Andrews Sisters'
'1944', '37', ' Do Nothin’ Till You Hear From Me', 'Duke Ellington'
'1944', '38', ' I Couldn’t Sleep A Wink Last Night', 'Frank Sinatra'
'1944', '39', ' Is You Is or Is You Ain’t', 'The Andrews Sisters'
'1944', '40', ' It Could Happen to You', 'Jo Stafford'
'2013', '2', '\xa0\xa0 \xa0Baauer', 'Harlem Shake'
'2013', '3', '\xa0\xa0 \xa0P!nk Featuring Nate Ruess', 'Just Give Me A Reason'
'2013', '4', '\xa0\xa0 \xa0Robin Thicke Featuring TI + Pharrell', 'Blurred Lines'
'2013', '5', '\xa0\xa0 \xa0Lorde', 'Royals'
'2013', '6', '\xa0\xa0 \xa0Robin Thicke Featuring TI + Pharrell', 'Blurred Lines'
'2013', '7', '\xa0\xa0 \xa0Katy Perry', 'Roar'
'2013', '8', '\xa0\xa0 \xa0Justin Timberlake', 'Mirrors'
'2013', '9', '\xa0\xa0 \xa0Daft Punk Featuring Pharrell Williams', 'Get Lucky'
'2013', '10', '\xa0\xa0 \xa0Miley Cyrus', 'We Can’t Stop'
'2013', '11', '\xa0\xa0 \xa0Miley Cyrus', 'Wrecking Ball'
'2013', '12', '\xa0\xa0 \xa0william &amp; Britney Spears', 'Scream &amp; Shout'
'2013', '13', '\xa0\xa0 \xa0Justin Timberlake Featuring Jay Z', 'Suit &amp; Tie'
'2013', '14', '\xa0\xa0 \xa0Rihanna Featuring Mikky Ekko', 'Stay'
'2013', '15', '\xa0\xa0 \xa0Eminem', 'Berzerk'
'2013', '16', '\xa0\xa0 \xa0Eminem Featuring Rihanna', 'The Monster'
'2013', '17', '\xa0\xa0 \xa0Drake Featuring Majid Jordan', 'Hold On, We’re Going Home'
'2013', '18', '\xa0\xa0 \xa0Florida Georgia Line Featuring Nelly', 'Cruise'
'2013', '19', '\xa0\xa0 \xa0Bruno Mars', 'Treasure'
'2013', '20', '\xa0\xa0 \xa0Avicii', 'Wake Me Up!'
'2013', '21', '\xa0\xa0 \xa0Jay Z Featuring Justin Timberlake', 'Holy Grail'
'2013', '22', '\xa0\xa0 \xa0Drake', 'Started From The Bottom'
'2013', '23', '\xa0\xa0 \xa0Anna Kendrick', 'Cups (Pitch Perfect’s When I’m Gone)'
'2013', '24', '\xa0\xa0 \xa0Selena Gomez', 'Come &amp; Get It'
'2013', '25', '\xa0\xa0 \xa0Lady Gaga', 'Applause'
'2013', '26', '\xa0\xa0 \xa0One Direction', 'Story Of My Life'
'2013', '27', '\xa0\xa0 \xa0Imagine Dragons', 'Demons'
'2013', '28', '\xa0\xa0 \xa0Pitbull Featuring Christina Aguilera', 'Feel This Moment'
'2013', '29', '\xa0\xa0 \xa0Zedd Featuring Foxes', 'Clarity'
'2013', '30', '\xa0\xa0 \xa0Ylvis', 'The Fox'
'2013', '31', '\xa0\xa0 \xa0Lil Wayne Featuring Drake &amp; Future', 'Love Me'
'2013', '32', '\xa0\xa0 \xa0Icona Pop Featuring Charli XCX', 'I Love It'
'2013', '33', '\xa0\xa0 \xa0Capital Cities', 'Safe And Sound'
'2013', '34', '\xa0\xa0 \xa0OneRepublic', 'Counting Stars'
'2013', '35', '\xa0\xa0 \xa0Demi Lovato', 'Heart Attack'
'2013', '36', '\xa0\xa0 \xa0Ariana Grande Featuring Mac Miller', 'The Way'
'2013', '37', '\xa0\xa0 \xa0Maroon 5', 'Love Somebody'
'2013', '38', '\xa0\xa0 \xa0Lana Del Rey &amp; Cedric Gervais', 'Summertime Sadness'
'2013', '39', '\xa0\xa0 \xa0Macklemore &amp; Ryan Lewis Feat\xa0Mary Lambert', 'Same Love'
